Data As Of,Jurisdiction of Occurrence,MMWR Year,MMWR Week,Week Ending Date,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
05/31/2023,United States,2020,38,2020-09-19,"59,740","54,127",744,"11,630","1,861","2,373",716,"2,518",778,921,624,"12,692","2,948","4,280","3,764",,,,,,,,,,,,,,,
05/31/2023,United States,2020,39,2020-09-26,"60,613","55,059",764,"11,863","1,843","2,499",724,"2,672",786,923,588,"12,710","3,077","4,305","3,797",,,,,,,,,,,,,,,
05/31/2023,United States,2020,40,2020-10-03,"59,802","54,099",718,"11,424","1,895","2,413",763,"2,578",719,944,646,"12,651","2,886","4,246","3,699",,,,,,,,,,,,,,,
05/31/2023,United States,2020,41,2020-10-10,"61,779","55,933",757,"11,829","1,895","2,515",726,"2,614",798,958,621,"12,810","3,123","4,823","4,279",,,,,,,,,,,,,,,
05/31/2023,United States,2020,42,2020-10-17,"60,643","55,200",776,"11,320","1,844","2,538",724,"2,598",815,"1,023",600,"12,580","3,039","5,204","4,592",,,,,,,,,,,,,,,
05/31/2023,United States,2020,43,2020-10-24,"62,189","56,847",728,"11,677","1,835","2,572",766,"2,698",796,944,604,"12,870","3,078","6,000","5,330",,,,,,,,,,,,,,,
05/31/2023,United States,2020,44,2020-10-31,"63,445","58,068",699,"11,529","1,938","2,460",793,"2,570",833,921,579,"13,163","3,104","7,031","6,260",,,,,,,,,,,,,,,
05/31/2023,United States,2020,45,2020-11-07,"67,590","61,742",765,"11,808","1,961","2,664",801,"2,896",814,"1,028",674,"13,675","3,159","8,766","7,847",,,,,,,,,,,,,,,
05/31/2023,United States,2020,46,2020-11-14,"68,823","63,215",795,"11,745","2,025","2,737",847,"2,753",858,"1,022",593,"13,467","3,175","10,654","9,581",,,,,,,,,,,,,,,
05/31/2023,United States,2020,47,2020-11-21,"71,698","66,260",819,"11,633","2,117","2,656",831,"2,816",857,"1,032",686,"13,655","3,215","13,365","12,074",,,,,,,,,,,,,,,
05/31/2023,United States,2020,48,2020-11-28,"73,305","67,907",773,"11,395","2,156","2,774",810,"2,755",861,"1,043",687,"13,560","3,127","15,628","14,135",,,,,,,,,,,,,,,
05/31/2023,United States,2020,49,2020-12-05,"77,429","71,976",844,"11,358","2,214","2,843",916,"2,835",903,"1,035",702,"14,303","3,313","18,578","16,861",,,,,,,,,,,,,,,
05/31/2023,United States,2020,50,2020-12-12,"82,006","76,426",836,"11,904","2,303","2,934",953,"3,032",969,"1,086",722,"14,576","3,479","20,940","19,080",,,,,,,,,,,,,,,
05/31/2023,United States,2020,51,2020-12-19,"82,938","77,523",840,"11,781","2,356","3,060",948,"2,948",920,"1,020",713,"14,757","3,468","22,342","20,437",,,,,,,,,,,,,,,
05/31/2023,United States,2020,52,2020-12-26,"84,390","78,732",858,"11,694","2,330","2,982",978,"2,862",922,"1,124",773,"14,849","3,385","23,400","21,376",,,,,,,,,,,,,,,
05/31/2023,United States,2020,53,2021-01-02,"87,033","81,119",894,"11,694","2,448","3,075","1,011","3,060",904,"1,111",712,"15,230","3,509","24,895","22,760",,,,,,,,,,,,,,,
05/31/2023,United States,2021,1,2021-01-09,"87,074","81,201",854,"11,340","2,377","2,946","1,025","2,956",936,"1,160",658,"15,103","3,372","26,028","23,954",,,,,,,,,,,,,,,
05/31/2023,United States,2021,2,2021-01-16,"87,436","81,641",828,"11,852","2,473","2,996",999,"2,939",963,"1,224",679,"15,024","3,535","25,743","23,526",,,,,,,,,,,,,,,
05/31/2023,United States,2021,3,2021-01-23,"83,682","78,097",839,"11,582","2,217","2,931",923,"2,816",899,"1,188",658,"14,614","3,451","23,734","21,685",,,,,,,,,,,,,,,
05/31/2023,United States,2021,4,2021-01-30,"79,202","73,653",783,"11,694","2,183","2,650",903,"2,783",954,"1,165",618,"14,306","3,295","20,363","18,441",,,,,,,,,,,,,,,
05/31/2023,United States,2021,5,2021-02-06,"76,514","70,618",833,"11,607","2,106","2,598",843,"2,861",926,"1,133",672,"14,426","3,325","17,069","15,268",,,,,,,,,,,,,,,
05/31/2023,United States,2021,6,2021-02-13,"71,513","65,874",833,"11,489","2,091","2,397",856,"2,656",895,"1,113",606,"13,963","3,402","13,551","12,036",,,,,,,,,,,,,,,
05/31/2023,United States,2021,7,2021-02-20,"69,529","63,975",821,"11,416","2,305","2,495",880,"2,702",863,"1,070",625,"14,278","3,194","10,835","9,511",,,,,,,,,,,,,,,
05/31/2023,United States,2021,8,2021-02-27,"66,740","60,968",868,"11,615","2,003","2,484",794,"2,622",891,"1,084",584,"13,614","3,220","8,675","7,526",,,,,,,,,,,,,,,
05/31/2023,United States,2021,9,2021-03-06,"63,727","57,943",791,"11,439","1,982","2,306",842,"2,580",815,"1,068",575,"13,327","3,183","6,742","5,792",,,,,,,,,,,,,,,
05/31/2023,United States,2021,10,2021-03-13,"61,867","56,205",839,"11,417","1,915","2,300",782,"2,638",857,"1,021",581,"13,214","3,097","5,734","4,794",,,,,,,,,,,,,,,
05/31/2023,United States,2021,11,2021-03-20,"60,374","54,422",767,"11,297","1,986","2,184",751,"2,555",850,991,613,"12,787","3,090","4,912","4,097",,,,,,,,,,,,,,,
05/31/2023,United States,2021,12,2021-03-27,"60,817","54,983",741,"11,425","1,922","2,252",695,"2,678",842,"1,034",608,"13,113","3,127","4,465","3,780",,,,,,,,,,,,,,,
05/31/2023,United States,2021,13,2021-04-03,"58,699","52,889",702,"11,099","1,945","2,049",704,"2,516",847,"1,013",598,"12,568","2,954","4,213","3,539",,,,,,,,,,,,,,,
05/31/2023,United States,2021,14,2021-04-10,"61,023","54,690",713,"11,571","1,905","2,186",752,"2,617",782,"1,040",624,"12,984","3,063","4,326","3,658",,,,,,,,,,,,,,,
05/31/2023,United States,2021,15,2021-04-17,"59,149","53,220",685,"11,388","1,809","1,966",684,"2,473",773,980,594,"12,801","3,114","4,461","3,775",,,,,,,,,,,,,,,
05/31/2023,United States,2021,16,2021-04-24,"60,260","54,276",729,"11,580","1,907","2,039",703,"2,566",864,981,573,"12,999","3,102","4,615","3,945",,,,,,,,,,,,,,,
05/31/2023,United States,2021,17,2021-05-01,"59,833","54,013",707,"11,621","1,911","2,125",692,"2,618",839,997,560,"12,832","2,945","4,181","3,607",,,,,,,,,,,,,,,
05/31/2023,United States,2021,18,2021-05-08,"59,029","52,995",700,"11,362","1,896","2,098",699,"2,585",843,917,585,"12,695","2,982","4,015","3,445",,,,,,,,,,,,,,,
05/31/2023,United States,2021,19,2021-05-15,"58,469","52,587",690,"11,542","1,871","2,015",670,"2,523",836,967,582,"12,431","2,978","3,694","3,170",,,,,,,,,,,,,,,
05/31/2023,United States,2021,20,2021-05-22,"58,760","52,630",711,"11,601","1,717","2,165",641,"2,622",865,971,603,"12,408","3,012","3,246","2,755",,,,,,,,,,,,,,,
05/31/2023,United States,2021,21,2021-05-29,"57,343","51,383",726,"11,276","1,784","2,009",659,"2,571",835,"1,023",586,"12,486","2,926","2,783","2,314",,,,,,,,,,,,,,,
05/31/2023,United States,2021,22,2021-06-05,"57,459","51,170",701,"11,497","1,739","2,040",634,"2,581",799,957,588,"12,463","2,869","2,353","2,002",,,,,,,,,,,,,,,
05/31/2023,United States,2021,23,2021-06-12,"57,179","50,791",738,"11,357","1,815","2,092",672,"2,618",820,956,592,"12,452","2,866","2,049","1,682",,,,,,,,,,,,,,,
05/31/2023,United States,2021,24,2021-06-19,"57,243","50,975",726,"11,531","1,806","2,095",641,"2,581",875,995,597,"12,606","2,919","1,783","1,434",,,,,,,,,,,,,,,
05/31/2023,United States,2021,25,2021-06-26,"56,933","50,733",747,"11,501","1,856","1,981",692,"2,645",898,947,654,"12,412","2,961","1,642","1,320",,,,,,,,,,,,,,,
05/31/2023,United States,2021,26,2021-07-03,"57,530","51,136",752,"11,581","1,824","2,053",625,"2,642",820,975,665,"12,606","3,017","1,549","1,235",,,,,,,,,,,,,,,
05/31/2023,United States,2021,27,2021-07-10,"57,219","50,732",772,"11,511","1,726","1,972",714,"2,602",881,998,650,"12,504","2,882","1,650","1,352",,,,,,,,,,,,,,,
05/31/2023,United States,2021,28,2021-07-17,"57,217","51,087",775,"11,581","1,777","2,025",719,"2,720",840,955,627,"12,231","2,963","1,996","1,697",,,,,,,,,,,,,,,
05/31/2023,United States,2021,29,2021-07-24,"58,439","52,271",780,"11,542","1,797","2,038",686,"2,680",783,942,692,"12,467","2,996","2,770","2,422",,,,,,,,,,,,,,,
05/31/2023,United States,2021,30,2021-07-31,"60,353","54,170",771,"11,652","1,773","2,137",746,"2,592",842,982,658,"12,797","2,918","4,126","3,730",,,,,,,,,,,,,,,
05/31/2023,United States,2021,31,2021-08-07,"63,800","57,389",771,"11,793","1,914","2,158",736,"2,825",822,998,621,"12,921","2,989","6,503","5,950",,,,,,,,,,,,,,,
05/31/2023,United States,2021,32,2021-08-14,"67,050","60,840",803,"11,996","2,015","2,156",774,"2,711",867,946,761,"13,193","2,965","9,425","8,771",,,,,,,,,,,,,,,
05/31/2023,United States,2021,33,2021-08-21,"69,962","63,769",764,"11,882","1,952","2,193",776,"2,794",861,"1,032",708,"13,146","3,068","12,207","11,377",,,,,,,,,,,,,,,
05/31/2023,United States,2021,34,2021-08-28,"72,208","65,922",743,"11,780","2,011","2,274",812,"2,732",931,"1,039",729,"13,427","2,990","14,212","13,303",,,,,,,,,,,,,,,
05/31/2023,United States,2021,35,2021-09-04,"73,524","67,237",774,"11,733","2,009","2,316",751,"2,706",841,"1,041",753,"13,408","3,079","15,539","14,567",,,,,,,,,,,,,,,
05/31/2023,United States,2021,36,2021-09-11,"73,745","67,307",832,"11,534","2,042","2,262",868,"2,691",901,"1,045",759,"13,435","3,129","15,452","14,474",,,,,,,,,,,,,,,
05/31/2023,United States,2021,37,2021-09-18,"73,317","67,119",827,"11,845","2,034","2,379",839,"2,805",925,"1,059",717,"13,157","3,056","15,246","14,193",,,,,,,,,,,,,,,
05/31/2023,United States,2021,38,2021-09-25,"72,188","66,027",813,"11,743","2,017","2,320",818,"2,747",868,"1,043",707,"13,068","3,086","14,375","13,403",,,,,,,,,,,,,,,
05/31/2023,United States,2021,39,2021-10-02,"71,368","65,120",888,"11,901","1,979","2,304",843,"2,758",894,"1,064",744,"13,259","3,065","12,859","11,869",,,,,,,,,,,,,,,
05/31/2023,United States,2021,40,2021-10-09,"69,136","63,023",843,"11,746","1,958","2,272",794,"2,765",866,982,696,"13,255","3,119","11,199","10,305",,,,,,,,,,,,,,,
05/31/2023,United States,2021,41,2021-10-16,"67,575","61,606",848,"11,699","1,873","2,168",860,"2,787",885,"1,037",669,"13,190","3,104","9,902","9,039",,,,,,,,,,,,,,,
05/31/2023,United States,2021,42,2021-10-23,"67,064","61,156",877,"11,752","1,895","2,296",803,"2,736",943,"1,018",679,"13,212","3,176","8,957","8,101",,,,,,,,,,,,,,,
05/31/2023,United States,2021,43,2021-10-30,"66,479","60,493",817,"11,749","2,023","2,285",843,"2,690",873,"1,070",702,"13,360","3,196","7,975","7,203",,,,,,,,,,,,,,,
05/31/2023,United States,2021,44,2021-11-06,"66,623","60,292",816,"11,710","2,020","2,316",908,"2,893",939,"1,076",736,"13,422","3,242","7,302","6,511",,,,,,,,,,,,,,,
05/31/2023,United States,2021,45,2021-11-13,"67,467","61,495",832,"11,918","2,066","2,483",829,"2,791",955,"1,069",789,"13,788","3,278","7,174","6,472",,,,,,,,,,,,,,,
05/31/2023,United States,2021,46,2021-11-20,"66,989","61,055",815,"11,650","2,008","2,421",913,"2,809",933,"1,073",720,"13,822","3,205","7,327","6,550",,,,,,,,,,,,,,,
05/31/2023,United States,2021,47,2021-11-27,"67,969","62,180",902,"11,717","2,082","2,444",882,"2,861",944,"1,031",759,"14,009","3,314","7,897","7,077",,,,,,,,,,,,,,,
05/31/2023,United States,2021,48,2021-12-04,"70,182","64,113",891,"11,863","2,068","2,401",948,"2,904",934,"1,171",822,"14,275","3,395","8,792","7,993",,,,,,,,,,,,,,,
05/31/2023,United States,2021,49,2021-12-11,"72,148","66,090",817,"12,100","2,120","2,384","1,053","3,091",991,"1,102",799,"14,656","3,360","9,744","8,864",,,,,,,,,,,,,,,
05/31/2023,United States,2021,50,2021-12-18,"71,335","65,423",859,"11,672","2,132","2,432",998,"3,056",988,"1,123",775,"14,378","3,357","10,268","9,380",,,,,,,,,,,,,,,
05/31/2023,United States,2021,51,2021-12-25,"72,328","66,514",859,"11,853","2,108","2,542","1,080","3,145",970,"1,168",865,"14,747","3,317","10,476","9,477",,,,,,,,,,,,,,,
05/31/2023,United States,2021,52,2022-01-01,"74,461","68,524",908,"11,672","2,298","2,496","1,143","3,181",961,"1,246",922,"15,023","3,351","11,697","10,503",,,,,,,,,,,,,,,
05/31/2023,United States,2022,1,2022-01-08,"79,816","73,813",959,"11,968","2,421","2,617","1,225","3,405","1,056","1,312",735,"16,168","3,483","15,149","13,277",,,,,,,,,,,,,,,
05/31/2023,United States,2022,2,2022-01-15,"85,097","79,089",949,"12,274","2,549","3,007","1,126","3,322","1,068","1,339",721,"16,528","3,791","19,125","16,649",,,,,,,,,,,,,,,
05/31/2023,United States,2022,3,2022-01-22,"85,674","79,766",863,"11,967","2,594","2,945","1,090","3,221",994,"1,347",742,"16,203","3,827","21,387","18,432",,,,,,,,,,,,,,,
05/31/2023,United States,2022,4,2022-01-29,"85,081","79,210",872,"11,908","2,459","2,982","1,035","3,270","1,037","1,285",732,"16,063","3,764","21,008","18,039",,,,,,,,,,,,,,,
05/31/2023,United States,2022,5,2022-02-05,"81,194","75,092",841,"11,737","2,424","2,951",966,"3,110",965,"1,274",636,"15,466","3,531","18,775","15,791",,,,,,,,,,,,,,,
05/31/2023,United States,2022,6,2022-02-12,"77,101","70,888",837,"11,819","2,220","2,741",939,"3,028",951,"1,278",693,"14,946","3,621","15,332","12,684",,,,,,,,,,,,,,,
05/31/2023,United States,2022,7,2022-02-19,"70,851","64,775",840,"11,627","2,009","2,498",816,"2,878",942,"1,189",658,"14,334","3,357","11,570","9,328",,,,,,,,,,,,,,,
05/31/2023,United States,2022,8,2022-02-26,"66,029","60,147",811,"11,234","1,931","2,410",855,"2,790",894,"1,185",641,"13,663","3,352","8,295","6,502",,,,,,,,,,,,,,,
05/31/2023,United States,2022,9,2022-03-05,"64,459","58,354",843,"11,544","2,029","2,310",866,"2,776",968,"1,194",631,"13,658","3,303","6,050","4,616",,,,,,,,,,,,,,,
05/31/2023,United States,2022,10,2022-03-12,"61,853","55,832",803,"11,499","1,942","2,177",787,"2,770",889,"1,201",592,"13,497","3,217","4,406","3,216",,,,,,,,,,,,,,,
05/31/2023,United States,2022,11,2022-03-19,"60,569","54,596",783,"11,550","1,963","2,142",783,"2,829",950,"1,090",647,"13,406","3,105","3,128","2,108",,,,,,,,,,,,,,,
05/31/2023,United States,2022,12,2022-03-26,"58,596","52,945",827,"11,404","1,917","2,104",770,"2,684",854,"1,137",623,"12,908","3,047","2,511","1,635",,,,,,,,,,,,,,,
05/31/2023,United States,2022,13,2022-04-02,"58,050","52,368",769,"11,484","1,799","2,053",745,"2,718",921,"1,116",615,"12,833","3,109","1,910","1,145",,,,,,,,,,,,,,,
05/31/2023,United States,2022,14,2022-04-09,"57,802","52,064",752,"11,422","1,865","2,108",780,"2,720",869,"1,113",596,"13,069","3,033","1,558",908,,,,,,,,,,,,,,,
05/31/2023,United States,2022,15,2022-04-16,"57,831","52,086",783,"11,465","1,814","2,136",807,"2,692",908,"1,034",670,"12,997","3,074","1,410",808,,,,,,,,,,,,,,,
05/31/2023,United States,2022,16,2022-04-23,"56,771","51,113",731,"11,308","1,773","2,040",731,"2,661",854,"1,055",584,"12,807","3,138","1,348",790,,,,,,,,,,,,,,,
05/31/2023,United States,2022,17,2022-04-30,"57,387","51,607",798,"11,409","1,802","2,083",777,"2,712",871,"1,067",631,"12,771","3,076","1,427",845,,,,,,,,,,,,,,,
05/31/2023,United States,2022,18,2022-05-07,"57,564","51,632",717,"11,252","1,834","2,151",762,"2,842",892,"1,047",643,"12,864","2,968","1,433",865,,,,,,,,,,,,,,,
05/31/2023,United States,2022,19,2022-05-14,"58,003","52,050",799,"11,603","1,812","2,096",782,"2,659",847,"1,024",610,"12,980","2,966","1,674","1,046",,,,,,,,,,,,,,,
05/31/2023,United States,2022,20,2022-05-21,"57,777","51,856",806,"11,663","1,727","2,060",795,"2,804",817,"1,083",577,"12,639","2,981","1,748","1,086",,,,,,,,,,,,,,,
05/31/2023,United States,2022,21,2022-05-28,"57,192","51,414",715,"11,358","1,767","2,158",742,"2,639",859,"1,036",590,"12,451","2,999","1,943","1,295",,,,,,,,,,,,,,,
05/31/2023,United States,2022,22,2022-06-04,"57,693","51,580",742,"11,333","1,768","2,170",781,"2,724",892,"1,041",638,"12,585","2,981","2,009","1,309",,,,,,,,,,,,,,,
05/31/2023,United States,2022,23,2022-06-11,"58,166","51,998",770,"11,636","1,729","2,166",735,"2,632",862,"1,043",656,"12,748","2,967","2,138","1,402",,,,,,,,,,,,,,,
05/31/2023,United States,2022,24,2022-06-18,"57,932","51,722",746,"11,198","1,844","2,081",768,"2,674",868,"1,032",587,"12,773","2,995","2,198","1,426",,,,,,,,,,,,,,,
05/31/2023,United States,2022,25,2022-06-25,"58,425","52,191",772,"11,564","1,829","2,053",697,"2,670",837,"1,082",658,"12,766","2,980","2,331","1,519",,,,,,,,,,,,,,,
05/31/2023,United States,2022,26,2022-07-02,"58,243","52,023",791,"11,658","1,798","2,115",706,"2,564",869,"1,019",653,"12,684","2,976","2,426","1,590",,,,,,,,,,,,,,,
05/31/2023,United States,2022,27,2022-07-09,"58,291","51,943",790,"11,409","1,774","2,120",707,"2,572",863,"1,043",637,"12,611","3,015","2,589","1,715",,,,,,,,,,,,,,,
05/31/2023,United States,2022,28,2022-07-16,"58,579","52,345",746,"11,460","1,788","2,088",672,"2,526",886,"1,005",701,"12,791","2,952","2,934","1,999",,,,,,,,,,,,,,,
05/31/2023,United States,2022,29,2022-07-23,"59,911","53,565",787,"11,699","1,804","2,192",717,"2,570",880,"1,023",680,"12,869","3,082","3,228","2,139",,,,,,,,,,,,,,,
05/31/2023,United States,2022,30,2022-07-30,"58,900","52,799",732,"11,629","1,824","2,110",670,"2,448",914,"1,052",721,"12,799","2,909","3,403","2,277",,,,,,,,,,,,,,,
05/31/2023,United States,2022,31,2022-08-06,"59,329","53,017",765,"11,576","1,726","2,194",682,"2,622",825,"1,078",709,"12,808","2,948","3,375","2,263",,,,,,,,,,,,,,,
05/31/2023,United States,2022,32,2022-08-13,"58,755","52,515",762,"11,674","1,744","2,054",665,"2,491",839,"1,015",731,"12,523","2,933","3,289","2,209",,,,,,,,,,,,,,,
05/31/2023,United States,2022,33,2022-08-20,"58,589","52,783",736,"11,690","1,788","2,125",641,"2,527",875,"1,019",682,"12,557","3,096","3,166","2,132",,,,,,,,,,,,,,,
05/31/2023,United States,2022,34,2022-08-27,"58,405","52,433",765,"11,550","1,703","2,162",656,"2,516",886,967,693,"12,566","2,998","3,050","1,955",,,,,,,,,,,,,,,
05/31/2023,United States,2022,35,2022-09-03,"58,224","52,067",713,"11,877","1,712","2,078",621,"2,581",847,"1,010",784,"12,282","2,993","2,926","1,888",,,,,,,,,,,,,,,
